neo,pha,full_name,diameter,orbit_id,epoch,e,a,q,i,w,per_y,om,ma,ad,n,moid,H,class,Notes,
Y,N,  1036 Ganymed (A924 UB),37.675,JPL 1259,2460600.5,0.5328,2.665,1.245,26.69,132.5,4.35,215.49,6.98,4.09,0.2265,0.345,9.25,AMO,Largest NEO known; discovered in 1924,
Y,N,  3552 Don Quixote (1983 SA),19,JPL 285,2460600.5,0.7073,4.267,1.249,31.06,316.53,8.81,349.96,263.48,7.29,0.1118,0.342,13.05,AMO,Dual-classified object may be an extinct comet; has highly eccentric orbit (0.71), 
Y,N,   433 Eros (A898 PA),16.84,JPL 659,2460600.5,0.2227,1.458,1.133,10.83,178.91,1.76,304.27,86.67,1.78,0.5597,0.15,10.41,AMO,Visited by NASA's NEAR Shoemaker mission; First asteroid to be orbited and landed upon,
Y,N,  4954 Eric (1990 SQ),10.8,JPL 788,2460600.5,0.4494,2.001,1.102,17.43,52.62,2.83,358.41,347.92,2.9,0.3481,0.194,12.54,AMO,,
Y,N,  1627 Ivar (1929 SH),9.12,JPL 1339,2460600.5,0.397,1.863,1.124,8.45,167.84,2.54,133.08,156.41,2.6,0.3875,0.112,12.84,AMO,,
Y,N,  1866 Sisyphus (1972 XA),8.48,JPL 1031,2460600.5,0.538,1.894,0.875,41.21,293.12,2.61,63.45,349.34,2.91,0.3782,0.104,12.52,APO,,
Y,Y, 53319 (1999 JM8),7,JPL 253,2460600.5,0.6414,2.724,0.977,13.84,166.8,4.49,133.62,228.77,4.47,0.2193,0.0245,15.36,APO,,
Y,N, 52762 (1998 MT24),6.742,JPL 218,2460600.5,0.653,2.416,0.838,33.86,254.53,3.76,308.94,29.2,3.99,0.2624,0.139,14.81,APO,,
Y,N,  7092 Cadmus (1992 LC),6.319,JPL 236,2460600.5,0.6935,2.545,0.78,17.79,94.77,4.06,56.72,30.55,4.31,0.2427,0.102,15.12,APO,,
Y,Y,  3200 Phaethon (1983 TB),6.25,JPL 807,2460600.5,0.8898,1.271,0.14,22.31,322.31,1.43,265.1,248.98,2.4,0.6875,0.0187,14.4,APO,Parent body of the Geminid meteor shower; extremely close approaches to the Sun (0.14 AU),
Y,N,  1580 Betulia (1950 KA),5.8,JPL 308,2460600.5,0.4876,2.195,1.125,52.19,159.73,3.25,62.23,319.03,3.27,0.3031,0.136,14.69,AMO,,
Y,N, 88263 (2001 KQ1),5.748,JPL 325,2460600.5,0.4326,2.097,1.19,38.79,241.58,3.04,232.82,319.85,3,0.3247,0.375,15.69,AMO,,
Y,N,  1917 Cuyo (1968 AA),5.7,JPL 566,2460600.5,0.5057,2.149,1.062,23.96,194.56,3.15,188.28,34.92,3.24,0.3128,0.0719,14.41,AMO,,
Y,N,  2212 Hephaistos (1978 SB),5.7,JPL 671,2460600.5,0.8361,2.166,0.355,11.31,210.05,3.19,27.01,184.81,3.98,0.3091,0.113,13.51,APO,,
Y,N, 25916 (2001 CP44),5.683,JPL 655,2460600.5,0.4991,2.559,1.282,15.76,199.69,4.09,94.64,186.18,3.84,0.2408,0.277,13.78,AMO,,
Y,Y,  4179 Toutatis (1989 AC),5.4,JPL 645,2460600.5,0.6248,2.543,0.954,0.45,277.88,4.06,125.36,339.68,4.13,0.243,0.00649,15.31,APO,"known for its chaotic, tumbling rotation. Passed close to Earth multiple times, last close approach in 2012",
Y,N, 26760 (2001 KP41),5.4,JPL 234,2460600.5,0.5571,2.853,1.264,11.02,155.16,4.82,146.26,289.19,4.44,0.2045,0.261,15.5,AMO,,
Y,N,514041 (2014 MQ18),5.272,JPL 75,2460600.5,0.5987,2.9,1.164,35.06,333,4.94,347.27,4.78,4.64,0.1996,0.196,15.62,AMO,,
Y,N,  5731 Zeus (1988 VP4),5.231,JPL 270,2460600.5,0.6521,2.266,0.788,11.2,218.43,3.41,280.59,166.28,3.74,0.289,0.0641,15.46,APO,,
Y,Y, 89830 (2002 CE),5.067,JPL 366,2460600.5,0.507,2.078,1.024,43.65,5.84,3,19.9,253.27,3.13,0.3291,0.0284,15.01,AMO,,
