full_name,neo,pha,H,G,M1,M2,epoch,e,a,q,i,om,w,ma,ad,n,per_y,moid
    1P/Halley,Y,,,,5.5,13.6,2439907.5,0.9679,17.93,0.575,162.2,59.07,112.21,274.81,35.28,0.01298,75.9,0.0745
    2P/Encke,Y,,,,15.6,,2459766.5,0.8484,2.22,0.337,11.48,334.29,187.03,219.12,4.1,0.2981,3.31,0.168
    3D/Biela,Y,,,,7.1,,2390520.5,0.7513,3.535,0.879,13.22,250.67,221.66,0.95,6.19,0.1483,6.65,0.000518
    5D/Brorsen,Y,,,,8.3,,2407440.5,0.8098,3.101,0.59,29.38,102.97,14.95,0.17,5.61,0.1805,5.46,0.367
    7P/Pons-Winnecke,Y,,,,16,,2457137.5,0.6376,3.419,1.239,22.33,93.42,172.51,13.17,5.6,0.1559,6.32,0.226
    8P/Tuttle,Y,,,,14.6,,2454701.5,0.8198,5.7,1.027,54.98,270.34,207.51,15.13,10.37,0.07242,13.6,0.0953
   12P/Pons-Brooks,Y,,,,5,11,2460209.5,0.9546,17.18,0.781,74.19,255.86,198.99,357.07,33.59,0.01384,71.2,0.18
   13P/Olbers,Y,,,,6.7,11.5,2458928.5,0.9298,16.66,1.17,44.63,85.84,64.58,337.34,32.16,0.01449,68,0.468
   15P/Finlay,Y,,,,14.9,,2457327.5,0.7202,3.49,0.977,6.8,13.75,347.63,46.69,6,0.1511,6.52,0.00923
   18D/Perrine-Mrkos,Y,,,,11.5,15.5,2440240.5,0.6426,3.56,1.272,17.76,240.88,166.05,11.51,5.85,0.1468,6.72,0.289
   20D/Westphal,Y,,,,8.8,,2420080.5,0.9198,15.64,1.254,40.89,348.01,57.08,359.72,30.03,0.01593,61.9,0.468
   21P/Giacobini-Zinner,Y,,,,13.3,,2458065.5,0.7105,3.5,1.013,32,195.4,172.81,313.91,5.99,0.1505,6.55,0.0179
